time,tavg,tmin,tmax,y,day
1994-12-31,3.1,2.2,4.8,1994,92.0
1995-01-01,3.3,1.4,6.4,1994,93.0
1995-01-02,2.0,0.2,4.1,1994,94.0
1995-01-03,0.4,-1.4,2.6,1994,95.0
1995-01-04,-0.8,-3.4,1.4,1994,96.0
1995-01-05,-6.2,-9.3,-2.4,1994,97.0
1995-01-06,-5.0,-7.3,-3.4,1994,98.0
1995-01-07,-3.5,-4.4,-2.6,1994,99.0
1995-01-08,-2.5,-4.8,-0.0,1994,100.0
1995-01-09,-6.5,-9.4,-3.7,1994,101.0
1995-01-10,-1.7,-4.0,-1.1,1994,102.0
1995-01-11,-1.5,-2.3,-0.9,1994,103.0
1995-01-12,-3.5,-4.4,-1.8,1994,104.0
1995-01-13,-4.0,-5.0,-2.6,1994,105.0
1995-01-14,-3.8,-4.9,-2.9,1994,106.0
1995-01-15,-4.9,-5.8,-3.8,1994,107.0
1995-01-16,-1.2,-5.9,2.2,1994,108.0
1995-01-17,-4.2,-6.9,0.1,1994,109.0
1995-01-18,-9.0,-12.8,-6.5,1994,110.0
1995-01-19,-9.9,-13.7,-5.4,1994,111.0
1995-01-20,-11.6,-15.6,-7.3,1994,112.0
1995-01-21,-10.6,-15.9,-3.5,1994,113.0
1995-01-22,-10.7,-14.7,-6.6,1994,114.0
1995-01-23,-8.3,-14.3,-1.5,1994,115.0
1995-01-24,1.5,-1.6,2.0,1994,116.0
1995-01-25,2.6,1.6,4.6,1994,117.0
1995-01-26,1.5,-0.8,4.1,1994,118.0
1995-01-27,4.5,2.6,5.9,1994,119.0
1995-01-28,1.2,-0.9,4.8,1994,120.0
1995-01-29,1.3,-0.8,3.7,1994,121.0
1995-01-30,1.4,-0.5,4.9,1994,122.0
1995-01-31,1.5,-0.1,3.5,1994,123.0
1995-02-01,-2.3,-4.1,0.6,1994,124.0
1995-02-02,1.9,-3.7,6.2,1994,125.0
1995-02-03,2.5,-0.0,4.1,1994,126.0
1995-02-04,-0.5,-3.5,2.5,1994,127.0
1995-02-05,1.0,-0.1,2.3,1994,128.0
1995-02-06,2.1,1.5,3.1,1994,129.0
1995-02-07,3.7,1.3,6.1,1994,130.0
1995-02-08,4.5,2.4,7.3,1994,131.0
1995-02-09,2.8,0.4,6.9,1994,132.0
1995-02-10,-1.0,-3.2,0.8,1994,133.0
1995-02-11,-0.8,-4.1,3.1,1994,134.0
1995-02-12,5.6,1.0,11.1,1994,135.0
1995-02-13,7.2,5.0,11.2,1994,136.0
1995-02-14,3.1,0.9,6.6,1994,137.0
1995-02-15,2.4,0.1,4.4,1994,138.0
1995-02-16,3.0,2.4,3.6,1994,139.0
1995-02-17,2.8,2.2,3.5,1994,140.0
1995-02-18,4.4,3.1,6.7,1994,141.0
1995-02-19,4.7,3.1,7.0,1994,142.0
1995-02-20,5.0,0.8,9.0,1994,143.0
1995-02-21,4.2,3.1,5.5,1994,144.0
1995-02-22,3.6,-0.6,8.2,1994,145.0
1995-02-23,4.2,0.5,9.5,1994,146.0
1995-02-24,6.0,2.4,10.7,1994,147.0
1995-02-25,6.5,4.1,9.4,1994,148.0
1995-02-26,6.1,2.4,8.8,1994,149.0
1995-02-27,4.0,1.4,5.8,1994,150.0
1995-02-28,1.6,-0.7,4.1,1994,151.0
1995-03-01,6.6,2.3,10.3,1994,152.0
1995-03-02,8.5,2.4,14.7,1994,153.0
1995-03-03,7.7,3.3,12.9,1994,154.0
1995-03-04,10.2,4.6,17.1,1994,155.0
1995-03-05,10.3,5.8,14.8,1994,156.0
1995-03-06,10.4,4.4,18.4,1994,157.0
1995-03-07,11.1,5.4,17.3,1994,158.0
1995-03-08,7.5,4.1,11.5,1994,159.0
1995-03-09,7.5,5.9,10.2,1994,160.0
1995-03-10,5.1,4.2,6.1,1994,161.0
1995-03-11,6.5,5.1,8.0,1994,162.0
1995-03-12,0.7,-2.6,7.6,1994,163.0
1995-03-13,-7.0,-8.9,-2.2,1994,164.0
1995-03-14,-5.4,-7.8,-2.9,1994,165.0
1995-03-15,-1.3,-3.3,-0.1,1994,166.0
1995-03-16,-1.7,-2.6,-0.1,1994,167.0
1995-03-17,-0.3,-1.5,1.6,1994,168.0
1995-03-18,2.1,-0.7,4.5,1994,169.0
1995-03-19,6.3,2.6,12.0,1994,170.0
