"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2021","26.310","26.100","26.630","25.700","1.23K","-1.94%"
"05/14/2021","26.830","26.350","26.875","26.350","0.67K","2.21%"
"05/13/2021","26.250","25.750","26.300","24.975","1.37K","-0.64%"
"05/12/2021","26.420","26.440","26.450","25.800","1.12K","2.38%"
"05/11/2021","25.805","24.800","25.995","24.750","0.97K","2.44%"
"05/10/2021","25.190","25.175","25.200","24.825","1.09K","5.22%"
"05/07/2021","23.940","24.225","24.225","23.875","0.69K","-1.60%"
"05/06/2021","24.330","24.130","24.950","24.130","1.08K","1.54%"
"05/05/2021","23.960","23.400","23.965","23.325","0.63K","3.95%"
"05/04/2021","23.050","24.105","24.105","22.995","0.72K","-3.21%"
"05/03/2021","23.815","23.815","23.815","23.815","","2.28%"
"04/30/2021","23.285","22.965","23.320","22.730","0.77K","3.49%"
"04/29/2021","22.500","21.665","22.575","21.575","0.47K","4.38%"
"04/28/2021","21.555","21.790","22.020","21.550","0.71K","0.70%"
"04/27/2021","21.405","19.930","21.500","19.750","0.74K","7.03%"
"04/26/2021","20.000","20.200","20.460","19.975","0.95K","-0.22%"
"04/23/2021","20.045","20.800","20.800","19.710","0.18K","-6.20%"
"04/22/2021","21.370","21.300","21.540","21.300","0.46K","1.23%"
"04/21/2021","21.110","21.015","21.250","20.850","2.02K","0.21%"
"04/20/2021","21.065","20.850","21.335","20.675","1.40K","0.60%"
"04/19/2021","20.940","20.875","21.120","20.850","1.43K","1.95%"
"04/16/2021","20.540","20.625","20.800","20.500","0.43K","1.38%"
"04/15/2021","20.260","19.900","20.385","19.850","0.60K","2.95%"
"04/14/2021","19.680","19.600","19.775","19.600","2.03K","0.87%"
"04/13/2021","19.510","19.720","19.850","19.470","1.16K","-0.71%"
"04/12/2021","19.650","19.395","19.725","19.260","1.48K","3.75%"
"04/09/2021","18.940","19.350","19.365","18.900","1.18K","-0.26%"
"04/08/2021","18.990","19.325","19.450","18.975","0.63K","-1.53%"
"04/07/2021","19.285","19.650","19.725","19.175","0.83K","-2.50%"
"04/06/2021","19.780","19.745","19.825","19.600","0.39K","3.18%"
"04/05/2021","19.170","19.170","19.170","19.170","","0.00%"
"04/01/2021","19.170","19.000","19.275","19.000","","0.92%"
